File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1t.srt,341,342,"00:34:43,458 --> 00:34:48,505","""ప్రియమైన మార్క్, గదిలో పెట్టెలను మోసేటప్పుడు, మీరు ఓవర్ హెడ్ ప్రొజెక్టర్ స్లైడును తట్టుకొని కిందపడ్"
1t.srt,371,372,"00:38:04,326 --> 00:38:08,705","అదీగాక, నీ మ్యారేజ్ యానివర్సరీ సమీపిస్తోంది, కాబట్టి నీ చుట్టూ మనుషులు ఉంటే బాగుంటుందని అనిపించింది."
1t.srt,412,413,"00:40:11,411 --> 00:40:20,212","అంటే, అప్పటికి ఇంకా రెండవ ప్రపంచ యుద్ధం జరగలేదు కదా, అందుకే ఎవరూ దాన్ని మొదటి ప్రపంచ యుద్ధం అని పిలి"
1t.srt,444,445,"00:41:48,175 --> 00:41:54,973","అది చాలా తేలిక. జ్ఞాపకాలను విడగొడతారు, ఆఫీసులో ఉన్నప్పుడు, మనం ఇక్కడ చేసేవేవి మనకి గుర్తుండవు."
1t.srt,459,460,"00:42:39,309 --> 00:42:43,814","విషయమేంటంటే, మార్క్ ఒక నిర్ణయం తీసుకున్నాడు, అది నైతికరపరంగా, అలాగే సామాజికపరంగా"
1t.srt,476,477,"00:43:31,570 --> 00:43:40,037","ఇవాళ జరిగిన అరాచకాల గురించి ఇంకా నీకు పుట్టబోయే బిడ్డకి తెలీదు కనుక, బిడ్డ పుట్టే దాకా నిన్నేమీ చేయన"
1t.srt,486,487,"00:44:20,327 --> 00:44:26,792","కానీ తన గురించిన జ్ఞాపకాలు ఎనిమిది గంటల పాటు రాకుండా చూసుకోవడం, కోలుకోవడం రెండూ ఒకటే కాదు అనుకుంటా."
1t.srt,495,496,"00:44:55,988 --> 00:45:01,034","దుప్పట్లను స్వయంగా నేనే చేస్తున్నాను, కాబట్టి పెద్ద దుప్పటి చేయడానికి నాకు ఇంకా చాలా సమయం పడుతుంది."
1t.srt,497,498,"00:45:01,785 --> 00:45:07,124","కానీ ట్విన్ సైజ్ బెడ్ సౌకర్యంగానే ఉంటుంది, ఇంకా పజమాలను బాల్టిక్ గుడ్డతో చేశాను,"
1t.srt,501,502,"00:45:14,339 --> 00:45:20,262","- అవును. - చిన్నారి పెరిగేకొద్దీ మంచాలను మార్చితే, దాని వల్ల చిన్నారికి గాయమయ్యే అవకాశం ఉందని రికెన్"
1t.srt,504,505,"00:45:21,805 --> 00:45:29,146","కానీ ఆ చిన్నారికి పుట్టిన క్షణం నుండే మనం తగినంత పెద్ద మంచం ఉండేలా చేస్తే, గది అంతటా స్వేచ్ఛగా తిరిగ"
1t.srt,532,533,"00:48:31,870 --> 00:48:38,627","మన్నించు, ఇక్కడిలా కాకుండా నా చిన్నప్పుడు అమ్మానాన్నలు నా మంచాలను మార్చేవారు కదా, ఆ ఆలోచనను మర్చిపోద"
1t.srt,572,573,"00:52:12,049 --> 00:52:18,180","నాకు ఏదైనా జరిగితే, నాకు తెలిసిన విషయాలు మూడవ కంటికి కూడా తెలియాల్సిన అవసరముంది."
1t.srt,583,584,"00:53:23,745 --> 00:53:30,627","మనం బయటి ప్రపంచంలో ఎలాంటి వాళ్లం అని, ఇంకా మనం ఏ దారులను ఎంచుకున్నాం అని, వాటిని ఎందుకు ఎంచుకున్నాం "
2t.srt,6,7,"00:00:19,728 --> 00:00:25,526","ఈ మార్పు అనేది సమగ్రమైనదని, అలాగే దీన్ని పూర్వ స్థితికి చేర్చడం సాధ్యం కాదని నాకు తెలుసు."
2t.srt,38,39,"00:03:57,487 --> 00:04:01,658","పడుతున్నప్పుడు, మేము వారిని ఈ మెట్ల దగ్గరికి తీసుకువస్తాం, తద్వారా వారు మార్పును భావావేశపరంగా అనుభవి"
2t.srt,79,80,"00:09:00,582 --> 00:09:05,629","నేను నిద్ర తాలూకు ప్రభావాలను ఊహించుకుంటా, అది నాకు ఉపయోగపడుతుంది కూడా, ఎందుకంటే దాన్ని ఇక్కడ ఉన్నప్ప"
2t.srt,93,94,"00:09:39,496 --> 00:09:44,585","- అక్కర్లేదు. - నేను 96% చేసేశాను, అంటే అయిదు స్థాయిల ప్రోత్సాహకాలలో నాలుగింటిని సాధించేశాను అన్నమాట"
2t.srt,102,103,"00:10:04,605 --> 00:10:08,817","కానీ మనం త్రైమాసికాంతానికి అంకెల లక్ష్యాన్ని చేరుకుంటే, మనలో ఒకరికి త్రైమాసికపు అత్యుత్తమ రిఫైనర్ గా"
2t.srt,118,119,"00:11:11,964 --> 00:11:17,344","ఇక్కడ నీకు కనిపించే డేటా అంతా, ప్రధానంగా అయిదు విభాగాల్లో ఏదోకదానికి చెందుతుంది."
2t.srt,120,121,"00:11:17,427 --> 00:11:24,184","మనం కోడులోని ప్రతీ లైనును గ్రూప్ చేసి, దాన్ని అయిదు డిజిటల్ బకెట్లలోకి సమానంగా సోర్ట్ చేస్తాము."
2t.srt,150,151,"00:12:52,523 --> 00:12:58,111","నీకు నిజంగా నచ్చకపోతే, నువ్వు రాజీనామాన్ని నీ పనియేతర అవతారానికి సమీక్ష కోసం సమర్పించి చూడవచ్చు."
2t.srt,155,156,"00:13:07,329 --> 00:13:15,462","అంటే, ఈ నీ పని అవతారం కేవలం లూమన్ లో ఉన్నప్పుడే ఉంటుంది కనుక, రాజీనామా చేసి వెళ్లిపోతే, ఈ జీవితాన్ని"
2t.srt,166,167,"00:13:47,953 --> 00:13:55,002","నేను ఇక్కడ మూడేళ్లుగా పని చేస్తున్నాను, నా గురించి చెప్పాలంటే, నాకు లూమన్ సంస్థ యొక్క తొమ్మిది ప్రధా"
2t.srt,182,183,"00:14:52,684 --> 00:14:56,063","నిన్న రాత్రి ఇంటికి వెళ్లాననుకుంటా, కానీ నా ఇల్లు అంటే ఇండిపెండెంట్ హౌసో, లేక ఫ్లాటో కూడా నాకు తెలీద"
2t.srt,203,204,"00:15:48,198 --> 00:15:54,496","ఆమె ఎత్తు 5'6"" కనుక, మీ ఆఫీసులో తను నాల్గవ ఎత్తైన వ్యక్తి, ఆమె హెయిర్ స్టయిల్ పేరు ""షోల్డర్ లెన్త్""."
2t.srt,213,214,"00:16:43,921 --> 00:16:48,550","పీటీతో ఉన్న పాత గ్రూప్ ఫోటోలని తుడుస్తూ ఉన్నప్పుడు, నాకు కాస్త..."
2t.srt,216,217,"00:16:53,639 --> 00:17:00,103","ఇంకా, ఏంటంటే, ఎండిఆర్ ని అతను నడిపినట్టుగా నేను నడపలేనేమోనని అనిపించింది."
2t.srt,220,221,"00:17:05,776 --> 00:17:11,156","వాటిని డెస్కుల నుండి తీసి స్టోరేజ్ అరలో పెట్టాను, కానీ అలా మేము చేయకూడదు."
2t.srt,225,226,"00:17:25,337 --> 00:17:32,553","అయినా కానీ, నీకు పీటీ విషయంలో ఉన్న ఇంత ఎమోషనల్ కనెక్షన్, కెరోల్ డీ విషయంలో ఎందుకు లేదా అని నాకు ఆశ్వ"
2t.srt,230,231,"00:17:43,105 --> 00:17:51,488","అంటే, నాకు... నాకు తెలియట్లేదు, కొత్త ఉద్యోగంలో చేరాడా, లేదా వెకేషన్ కి వెళ్ళాడా, లేదా చనిపోయాడా..."
2t.srt,276,277,"00:21:55,607 --> 00:22:03,699","ఇది నాకు సిగ్గుచేటు విషయమే, కానీ నేను శిక్షణ ఇవ్వడం ఇదే మొదటిసారి, డేటా తరలింపుకు సంబంధించిన నియమాలన"
2t.srt,281,282,"00:22:12,165 --> 00:22:19,298","కాబట్టి, కోడ్ డిటెక్టర్లను హెల్లి ట్రిగ్గర్ చేసి ఉంటే, దానికి కారణం నేనే, అందుకు నన్ను క్షమించండి, స"
2t.srt,318,319,"00:25:36,286 --> 00:25:40,791","అంటే, మీకు పెళ్లయి పిల్లలు కూడా ఉండవచ్చు, కానీ రోజుకు ఎనిమిది గంటల పాటు, మీ జీవితాంతం, వారు ఉన్నారనే"
2t.srt,352,353,"00:27:11,590 --> 00:27:17,346","అదీగాక, ఎవరైనా వేర్పాటు పద్ధతిని జరిపించుకుంటే, వారు రెండు నరకాలకు వెళ్తారట. అది నిజమేనా?"
2t.srt,385,386,"00:29:39,446 --> 00:29:42,824","నా భర్త కార్పెంటర్, చనిపోక ముందు ఒక మాట అన్నాడు,"
2t.srt,388,389,"00:29:48,830 --> 00:29:55,337","నేను అక్కడికి చేరుకోకముందు, నాకు ఇంకో తోడు ఏమైనా దొరికితే, ఆయన కూడా ఉండటానికి, వెనుక పక్క ఒక చిన్న అ"
2t.srt,418,419,"00:33:17,497 --> 00:33:21,502","త్రైమాసికపు గడువు సమీపిస్తోంది, అదీగాక, నాకు డిపార్టుమెంట్ చీఫ్ కావాలని కూడా లేదు."
2t.srt,464,465,"00:38:32,521 --> 00:38:37,526","మన పనియేతర అవతారాలన్నీ, బయట తమ జ్ఞాపకాలను వేరు చేసుకుంటూ ఉన్నారంటే, బయటి పరిస్థితి చాలా దారుణంగా ఉండ"
2t.srt,470,471,"00:38:48,579 --> 00:38:55,878","కానీ అలా చేయాలంటే, ముందు వాళ్లు సముద్ర అడుగు భాగానికి ప్రోబ్స్ ని పంపి, భయంకరమైన జీవులని, చెత్తాచెదా"
2t.srt,472,473,"00:38:56,378 --> 00:39:04,511","కనుక మనం అడుగు భాగానికి ప్రోబ్స్ పంపుతాం, అవి డేటాను కోడ్ రూపంలో మనకి పంపుతాయి, మనం భయంకరమైన జీవులని"
2t.srt,500,501,"00:41:44,421 --> 00:41:50,802","నేను పట్టుబడినందుకు ఆనందం వ్యక్తం చేస్తున్నాను, ఆ దైవ సంభూతుని చేతులే నా పతనాన్ని అడ్డుకున్నాయి."
2t.srt,548,549,"00:46:12,481 --> 00:46:18,403","ప్రతీ విషయాన్ని కూడా సమానంగా ఆస్వాదించడానికి ప్రయత్నించండి, ఒకదానికి ఎక్కువ ప్రాధాన్యత ఇచ్చి, మిగతావ"
2t.srt,561,562,"00:47:11,874 --> 00:47:18,005","- నేను కేవలం... - మరేమీ మాట్లాడకండి, లేదంటే మీ పాయింట్లన్నీ కోతకు గురయి, ఈ సంరక్షణా సెషన్ ముగిసిపోతు"
2t.srt,571,572,"00:48:03,759 --> 00:48:07,846","ఎవరూ రాజీనామాలను ఆమోదించకపోతే, అసలు వాటిని మన పనియేతర అవతారానికి చేరవేస్తున్నారో లేదో ఎలా తెలుస్తుంద"
3t.srt,82,83,"00:08:25,881 --> 00:08:29,635","లూమన్ లో మేము చేసే దానికి, ఆ మాటకొస్తే ఏ వేర్పాటు పద్ధతికి అయినా, ఈ విషయంలో సంబంధం లేదు."
3t.srt,89,90,"00:08:48,153 --> 00:08:54,535","...పరివాహక ప్రాంతంలోకి విస్తరించింది, మధ్యాహ్నం దాకా కొనసాగే అవకాశముంది, సరిగ్గా ఇదే నిన్న మేము చెప్"
3t.srt,91,92,"00:08:54,618 --> 00:09:03,001","మంచి విషయం ఏమిటంటే, గాన్స్ ప్రాంతంలో ఆ మబ్బులు వీడిపోతాయి, దానితో మన కియర్ పరిసరాల్లో మనకి ఎండ వాతావ"
3t.srt,94,95,"00:09:05,879 --> 00:09:10,175","ఇక రోడ్డులన్నీ ఈ వారమంతా మంచుతో కప్పబడి ఉంటాయి, ఆ పరిస్థితే వారాంతం కూడా కొనసాగుతుంది."
3t.srt,103,104,"00:09:47,921 --> 00:09:54,052","కానీ ఓ విషయం, నేను మాత్రం ఏకీకరణ ప్రకియ జరుపుకోను, సరేనా?"
3t.srt,141,142,"00:13:21,051 --> 00:13:25,597","కానీ ఇక్కడికి నువ్వు వచ్చేశావు కనుక, ఈ డిపార్టుమెంటుకు నాయకునిగా ఉదయపు వేళ తొలి ప్రకటనలను చదివి విని"
3t.srt,242,243,"00:23:05,761 --> 00:23:12,518","డిలన్ నిన్నంతా బోనస్ లు, ఎరేసర్లు, వాఫుల్ పార్టీల గురించే మాట్లాడాడు, అదేదో మనం వాటి కోసమే ఇక్కడ పని"
3t.srt,273,274,"00:25:02,836 --> 00:25:09,426","నువ్వు అన్నట్టు పీటీ అలాంటివాడే అయితే, అతను ఇంకా ఇక్కడ పని చేస్తూ ఉండేవాడే."
3t.srt,304,305,"00:27:09,213 --> 00:27:17,346","హేయ్, ఇప్పుడు నేను చెప్పబోయేది నీకు పనికి రావచ్చేమో, కోడ్ డిటెక్టర్లు, నీ శరీరంలో సందేశాలు ఎక్కడ దాగ"
3t.srt,307,308,"00:27:26,563 --> 00:27:34,613","నువ్వు దాన్ని ఎప్పుడు మింగావు అని అతను అడిగినప్పుడు, నువ్వు నిజాయితీగా ఉంటే నీకే మంచిది."
3t.srt,317,318,"00:28:12,943 --> 00:28:18,740","దాన్ని నేనే రాశాను, అది మన కార్పొరేట్ నియమాలకు విరుద్ధం, ఇంకా అస్సలు కవిత్వంలానే అనిపించదు."
3t.srt,319,320,"00:28:18,824 --> 00:28:26,665","రెండవ చరణంలో ""ఆంబ్రోస్""ది ""వాటిని నిషేధించండి"" అంటూ ఒక నొప్పించేది ఉంటుంది, అది విచారకరమైనదే అయినా, "
3t.srt,323,324,"00:28:31,670 --> 00:28:36,758","అతడిని మరింతగా దిగజార్చడం నా ఉద్దేశం కాదు, - కానీ నా ఉద్దేశంలో మీకు... - ""ఈగన్ బింగో""?"
3t.srt,342,343,"00:29:28,018 --> 00:29:34,358","- డిలన్. - ఏంటి? మీరు చాలా గొప్పవాళ్ళు కదా, మీరు ఇక్కడ ఏం చేస్తున్నారా అని అడిగానంతే. మామూలుగా మీ గద"
3t.srt,365,366,"00:31:26,261 --> 00:31:34,394","కంగారుపెట్టాలని కాదు, కానీ అతను వెళ్లిపోయే ముందు, అతనిలో ఆందోళనకరమైన లక్షణాలు కనిపించాయి... ఏకీకరణకు"
3t.srt,390,391,"00:32:57,019 --> 00:33:01,773","కొన్ని శతాబ్దాల క్రితం, ఓ&డీ వారు ఇతరులపై చాలా హింసాత్మకరీతిలో దురాక్రమణ చేయబోయారు, అందుకే ఆ డిపార్ట"
3t.srt,402,403,"00:33:25,088 --> 00:33:31,720","అంటే, మేమందరం ఒక మూలన నిలబడి, రక్తపు మడుగులో ఉంటామని ఊహించుకుంటున్నా, అప్పుడు నేను నీ ముఖాన్ని వేసుక"
3t.srt,412,413,"00:34:10,676 --> 00:34:16,764","""నా పరిశ్రమలో పని చేసే వ్యక్తుల్లారా, స్వాగతం, ఇప్పుడు నా సంతతి గురించి తెలుసుకోండి."""
3t.srt,419,420,"00:35:25,209 --> 00:35:34,593","నాకు మరణం సమీపిస్తోందని అర్థమైంది, ఎందుకంటే, జీవితంలో నేను సాధించిన అత్యుత్తమ విజయం ఏంటని అందరూ అడగడ"
3t.srt,422,423,"00:35:41,266 --> 00:35:52,236","నా జీవితంలో, నేను నాలుగు భాగాలను గుర్తించాను, వాటిని భావావేశాలని అంటాను, వాటి నుండే మానవుడు ఉద్భవించ"
3t.srt,436,437,"00:36:32,693 --> 00:36:39,783","ఒక ఈగన్ గా ఉండాలంటే, అది ఈగన్ వారసులైనా సరే, లేదా లూమన్ సంస్థలో పని చేసేవారైనా సరే,"
3t.srt,438,439,"00:36:39,867 --> 00:36:47,583","వారు కొన్ని విలువలకు కట్టుబడి ఉండాలి, ఆ విలువలను మేము ఎంతో విలువైనవని నమ్మి, ఎప్పట్నుంచో పాటిస్తూ వస"
3t.srt,441,442,"00:36:51,879 --> 00:36:56,091","ఆ విలువలు మా రక్తంలోనే ఉన్నాయి, - కియర్ నుండి... - వావ్, నీకు ఒకటి దొరికిందిగా."
3t.srt,444,445,"00:36:58,552 --> 00:37:03,140","- మీ కన్నీళ్లను మీరు దాచుకోనక్కర్లేదు. - నా చిన్నతనంలో, మా నాన్న నా చెవిలో చెప్పేవాడు..."
3t.srt,495,496,"00:40:33,767 --> 00:40:39,565","ఇది లూమన్ యొక్క అస్తిత్వం, ఆ సంస్థ విలువలకు ప్రతిరూపం, అంతే కానీ బింగో ఆట కానే కాదు."
3t.srt,535,536,"00:46:26,411 --> 00:46:32,626","నా చర్యలకు ఎవరైనా బాధపడాల్సి వస్తే, అది నేనే పడాలి, వాటి దుష్పరిమాణాన్ని కూడా నేనే భరించాలి."
3t.srt,537,538,"00:46:33,836 --> 00:46:38,966","నేను పట్టుబడినందుకు ఆనందం వ్యక్తం చేస్తున్నాను, ఆ దైవ సంభూతుని చేతులే నా పతనాన్ని అడ్డుకున్నాయి."
3t.srt,544,545,"00:47:00,112 --> 00:47:07,327","నా చర్యలకు ఎవరైనా బాధపడాల్సి వస్తే, అది నేనే పడాలి, వాటి దుష్పరిమాణాన్ని కూడా నేనే భరించాలి."
3t.srt,546,547,"00:47:07,911 --> 00:47:13,208","నేను పట్టుబడినందుకు ఆనందం వ్యక్తం చేస్తున్నాను, ఆ దైవ సంభూతుని చేతులే నా పతనాన్ని అడ్డుకున్నాయి."
4t.srt,2,3,"00:00:17,726 --> 00:00:26,109","నేను పట్టుబడినందుకు ఆనందం వ్యక్తం చేస్తున్నాను, ఆ దైవ సంభూతుని చేతులే నా పతనాన్ని అడ్డుకున్నాయి."
4t.srt,36,37,"00:07:08,470 --> 00:07:15,018","నాకు ముందు పని చేసిన ఆలిస్ కే, ఇక్కడికి, శిఖరాగ్ర సమావేశాలను నిర్వహించిన సమయాల్లో వచ్చేది, - తను దిశ"
4t.srt,42,43,"00:07:21,942 --> 00:07:27,489","మీరు ఎదురుచూస్తున్నారని చెప్పారు కదా, నేను దాని గురించి చాలా ఆలోచించాను, మీరు తమాషాగా ఆటపటిద్దామనే అ"
4t.srt,46,47,"00:07:32,786 --> 00:07:37,708","పని మీద ఏకాగ్రత తగ్గవచ్చు అని మీరు అన్నారు, కానీ అలా జరగడం నాకు ఇష్టం లేదు."
4t.srt,56,57,"00:08:02,983 --> 00:08:10,991","కాస్తంత సేద తీరుదామని మీకు ఓ&డీకి రావాలని అనిపిస్తే, నేను అర్వింగ్ కి కానీ, అలాగే మీకు కానీ దగ్గర ఉం"
4t.srt,78,79,"00:09:52,217 --> 00:09:56,889","ముఖ్యమైన విషయం ఏంటంటే, నువ్వు సరైన విధంగా క్షమాపణలు చెప్పావు, కాబట్టి బయటకు వచ్చేశావు."
4t.srt,81,82,"00:09:59,516 --> 00:10:05,439","ఒక విషయాన్ని తలుచుకొని చెప్పాలి, అప్పుడు మెషిన్ నమ్ముతుంది, కాబట్టి నా పనియేతర అవతారం బయట ఒక మహిళతోన"
4t.srt,102,103,"00:11:46,540 --> 00:11:54,047","చెప్తే నవ్వుకుంటారు కానీ, మీరు ""కియర్ యవ్వనంలో ఉండగా కోలుకోవడం"" పెయింటింగ్ ని పెట్టినప్పుడు నాకు ఏడు"
4t.srt,116,117,"00:12:45,390 --> 00:12:53,190","""మరణం అంచుల నుండి లేచి ముందుకు సాగండి, ఎన్ని అవాంతరాలైనా ఎదుర్కోగలరు."""
4t.srt,140,141,"00:15:44,194 --> 00:15:47,656","నాకేమీ నియమాలను అనుసరించాలని శ్రీరంగ నీతులు చెప్పి, నువ్వేమో ఇలాంటివి చేస్తున్నావా?"
4t.srt,178,179,"00:17:59,580 --> 00:18:03,041","నేను మిస్టర్ మిల్చెక్ కి చెప్దామనుకున్నాను, కానీ నా పైఅధికారిగా ఇది నువ్వే చెప్పాల్సిన విషయమని గ్రహి"
4t.srt,206,207,"00:19:35,467 --> 00:19:43,100","ఏం జరుగుతుందంటే, మీరు నాకు ఒక వీడియో కెమెరాని ఇస్తారు, దానితో నా పనియేతర అవతారానికి నేనొక వీడియోని త"
4t.srt,216,217,"00:20:11,795 --> 00:20:16,758","మిస్టర్ మిల్చెక్, వెళ్లి వీడియో కెమెరా తీసుకురాగలవా?"
4t.srt,222,223,"00:21:56,650 --> 00:22:01,822","హెల్లి, నేను రాజీనామా చేయాలని నువ్వు కోరిన వీడియోను నేను చూశాను."
4t.srt,225,226,"00:22:06,577 --> 00:22:13,417","దానితోనే సమస్య పరిష్కారమవుతుందని భావించాను, కానీ నువ్వు నీ వేళ్లను కోసేసుకుంటావని బెదిరించావని మిస్ "
4t.srt,234,235,"00:22:45,657 --> 00:22:53,540","నా వేళ్లకు నువ్వు ఏమైనా చేశావనుకో, ఎందుకు ఆ పని చేశానని బాధపడేలా నీకు జీవితాంతం నరకం చూపిస్తాను."
4t.srt,262,263,"00:25:30,739 --> 00:25:35,953","ఆదివారం అతని అంత్యక్రియలు ఉన్నాయి, అప్పుడు అతని దేహాన్ని ఖననం చేస్తారు."
4t.srt,278,279,"00:26:57,117 --> 00:27:06,376","నేను... అంటే... వార్తల్లో అతను లూమన్ లో పని చేసే వాడని చెప్పారు, కాబట్టి అతను నాకు తెలుసేమో అనుకున్న"
4t.srt,285,286,"00:27:24,520 --> 00:27:27,856","అక్కడికి వెళ్లి, ఆయనకి నివాళి అర్పించాలనుకుంటే వెళ్లు, నేను ఇక్కడే ఉంటాను."
4t.srt,290,291,"00:27:48,418 --> 00:27:52,130","కేవలం వైన్ మాత్రమే ఉంది, సర్, సరే. రెడ్ వైన్ ఇవ్వండి."
4t.srt,316,317,"00:30:31,665 --> 00:30:35,335","మన జీవితంలో ఏదైనా దారుణమైన సంఘటన జరిగితే, దానికి పరిష్కారం మన సగం జీవితాన్ని మర్చిపోవడం కాకుండా"
4t.srt,397,398,"00:38:54,960 --> 00:39:02,426","ఎండిఆర్ నుండి మా డిపార్టుమెంటును చూడటానికి ఒకరు రావడం చాలా ఆనందంగా ఉంది, మీరు చూపే ఆసక్తి బాగుంది, ఇ"
4t.srt,419,420,"00:40:10,619 --> 00:40:17,125","నీవే నా స్వరానివి, నీ ద్వారా, నేను చనిపోయాక కూడా"
4t.srt,427,428,"00:40:37,938 --> 00:40:45,195","కానీ నేను వేరే దేశంలో దేశదిమ్మరిలా బతికాను, నా డబ్బులను వాడుకోకుండా ఇతరుల ఇచ్చిన బిచ్చాన్ని వాడుకున్"
4t.srt,431,432,"00:40:55,330 --> 00:41:01,211","నీ ఉద్యోగానికి నువ్వు చాలా ముఖ్యం, కానీ నీకు అది ముఖ్యం కాదు."""
4t.srt,451,452,"00:44:24,373 --> 00:44:30,295","తర్వాతి అంశం, బాధ్యతాయుతంగా వ్యవహరించడం, ఇంటి పట్ల, అలాగే భూమి పట్ల."
4t.srt,454,455,"00:44:42,266 --> 00:44:47,646","తర్వాతిది కనులు, అవి ప్రేమతో మనల్ని గమనిస్తాయి."
5t.srt,33,34,"00:06:12,956 --> 00:06:18,837","నా ఇరవైల ప్రాయంలో సాహిత్య ప్రపంచంలో నేను విఫలమయ్యాను, దానితో చాలా క్రుంగిపోయాను, కానీ దాని ద్వారా ఒక"
5t.srt,36,37,"00:06:25,719 --> 00:06:31,475","ఆ ప్రపంచంలో నా స్థానాన్ని పదిలపరచుకోవాలంటే, ముందు దాన్ని సంపూర్ణంగా బద్దలుకొట్టాలి."
5t.srt,39,40,"00:06:33,894 --> 00:06:41,193","గాయమైన పాదాలు గల వ్యక్తి ఎలా అయితే దూకలేడో, ఎందుకూ పనికి రాని కార్మికులు ఉన్న సమాజం కూడా అలాగే ముందు"
5t.srt,51,52,"00:07:27,531 --> 00:07:36,999","కాబట్టి ప్రియమైన పాఠకుడా, వ్యవస్థలో కలిసిపోవాలని నువ్వు అనుకున్నప్పుడు, ఒకసారి శాంతంగా ఆలోచించు, మార"
5t.srt,60,61,"00:08:01,857 --> 00:08:06,153","ఈ విషయాన్ని నువ్వు బోర్డుకి కాసేపు ఆగి చెప్తావు అనుకుంటున్నా, హెల్లి ఆర్ విషయంలో ఇంత జరిగాక అలాగే చే"
5t.srt,71,72,"00:08:44,316 --> 00:08:51,740","నువ్వు ఇంకా ఆఫీసులోనే ఉన్నావని తెలుసు, కానీ, డెవన్ కి పురిటి నొప్పులు మొదలయ్యాయి, బిడ్డ పుట్టే సమయం "
5t.srt,75,76,"00:08:57,621 --> 00:09:03,502","మేము రిసార్ట్ కి వచ్చేశాం, బిడ్డ కొంచెం కొంచెం కిందకు వస్తోంది, నువ్వు ఇక్కడికి ఎంత త్వరగా వస్తే అంత"
5t.srt,78,79,"00:09:06,922 --> 00:09:12,678","ఒకవేళ ఫోన్ మార్క్ పని అవతారం దగ్గర ఉంటే, రికెన్ త్వరగా రమ్మంటున్నాడని మార్క్ కి చెప్పు."
