Index,Details,Telugu,English,Status
319,t(3)-e(4) | ... vs ....,మెడిక్. మెడి నువ్వు రెండుసార్లు నొక్కాలి. ఇది.,Medic. Medic. Me You wanna press it twice. It's.,MISMATCH
372,t(3)-e(4) | ... vs ....,మనం సవాలు చేశాం. ఒప్పుకున్నాం. నేను ఎలా చెప్పగలను.,We're on. We did it. We made the deal. How I'm supposed.,MISMATCH
391,t(3)-e(4) | ... vs ....,నాకు చేయాలని లేదు. లేదు. అసలు కుదరదు.,I don't want to. No. No. Absolutely not.,MISMATCH
392,t(4)-e(3) | .... vs ...,ఇలా చూడు. దయచేసి విను. ప్లీజ్. ఖచ్చితంగా కుదరదు.,"Come on, please. Please. Absolutely not.",MISMATCH
393,t(2)-e(3) | .. vs ...,మనం వెళ్తున్నాం. ఇంక తెగిపోతుంది.,We are going. We are going. It's so final.,MISMATCH
405,t(4)-e(7) | .... vs .......,హాయ్. అది చూసింది. చూడు. హాయ్.,Hi. Hi. Hi. Aw. [gasps] He does. Look. Hi.,MISMATCH
417,t(4)-e(3) | .... vs ...,నేను పట్టను. ప్రయత్నించాను. నమ్ము. ఇలా చూడు.,"I won't fit, I've tried. Trust me. Come on.",MISMATCH
420,t(6)-e(7) | ...... vs .......,నువ్వు ఏం చేస్తున్నావో నాకు తెలుసు. చాలా సన్నగా ఉండాలి. నాకు నచ్చింది. సరే. మంచిది. ఈ కుక్క తలుపు నుండి వెళ్లు.,"I know what you're doing. Very narrow. , I like it. I like it. Okay. Good. Get through that doggy door.",MISMATCH
427,t(4)-e(5) | .... vs .....,ఇలా చూడు. నీలో ఆ సత్తా ఉంది. నిజం. బాగుంది.,"Look at that. Whoo! [Will] You got it. Yes. Good. Good, good.",MISMATCH
428,t(2)-e(4) | .. vs ....,బాగుంది. ఇప్పుడు తలుపు తీయి.,Nice. Get the door. Get the door. Get the door.,MISMATCH
479,t(4)-e(7) | .... vs .......,అవును. ఇది చాలా మంచిది. వద్దు. ఇప్పుడు వద్దు.,Yeah. He's very sweet. [shrieks] Don't. Don't. Don't. Don't. Not No.,MISMATCH
502,t(2)-e(3) | .. vs ...,"నువ్వు నీ అభిప్రాయాన్ని చెప్పి ఉండకపోతే ఆ చెత్త కుప్ప ఇంటికి నేను నో చెప్పేంత ధైర్యం చేసి ఉండేదాన్ని కాదు. సరే, ఆడ్రేతో నాకు తెగతెంపులు చేసినందుకు నీకు కూడా థాంక్యూ, ఇంకా కాస్త బాధ కలిగించినా నాకు ఉపశమనం కలిగించినందుకు.","I don't think I would've had the courage to say no to that dump if it hadn't been for your opinion. So, thank you for that. [inhales deeply] Well, thank you for, , you know, finally making me [chuckles] cut ties with Audrey and pull that Band-Aid off.",MISMATCH
530,t(3)-e(2) | ... vs ..,అవును. అతను ఊరికే వచ్చాడు. దాని గురించి కొత్త అభిప్రాయం చెబుతాడని తీసుకువెళ్లా.,"Yeah, he just came by. Fresh set of eyes.",MISMATCH
